"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ankrd45",1.05178284118602e-06,0.639699446078157,0.364,0.049,0.0171409049628086
"Mok",1.13457763454571e-06,0.997653465523919,0.727,0.194,0.0184902117101914
"Six1",1.17490680382567e-06,0.438376812402085,0.455,0.071,0.019147456181947
"4931414P19Rik",1.31839212567169e-06,0.307317635521643,0.273,0.028,0.0214858364720715
"Fsd1l",1.32256268576026e-06,0.519762580467522,0.455,0.073,0.021553804089835
"Lrguk",1.35332077129822e-06,0.675988481390674,0.455,0.076,0.0220550686098471
"Lrrc23",1.35782982428075e-06,0.942806908280902,0.545,0.118,0.0221285526463033
"Sbspon",1.39272628537952e-06,0.466044942237788,0.364,0.048,0.02269726027283
"Gm19935",1.40712565003353e-06,2.61925827023037,0.909,0.468,0.0229319267185965
"Syngap1",1.4111192132104e-06,1.20601410231071,0.727,0.223,0.0229970098176898
"Lypd2",1.41467227561387e-06,2.74086673592708,0.909,0.472,0.0230549140756792
"Clec14a",1.44765354807007e-06,-1.85477487174619,0.182,0.882,0.0235924098728979
"Kctd8",1.45371230467341e-06,0.376042786604832,0.364,0.048,0.0236911494292625
"Pakap.1",1.47771293206533e-06,-1.56791331476547,0.909,0.99,0.0240822876538687
"Lrrc26",1.47938353442263e-06,0.711491466177618,0.364,0.051,0.0241095134604857
"Adig",1.54187873610358e-06,0.487974623449071,0.455,0.072,0.02512799776228
"Cpn1",1.60125455711405e-06,0.405582771746153,0.273,0.029,0.0260956455172876
"Adgre1",1.61262852430668e-06,0.307953324027584,0.273,0.028,0.0262810070606259
"Ttll10",1.68872575249465e-06,0.945689416814023,0.545,0.121,0.0275211635884052
"Ifitm1",1.75564889348298e-06,2.24968265027145,1,0.778,0.0286118100170922
"Mns1",1.78629094358767e-06,1.36031962440215,0.636,0.173,0.0291111835076482
"Gjb2",1.79223730144011e-06,0.466044942237788,0.364,0.049,0.0292080913015695
"Dhx33",1.84170975669784e-06,0.376665040244364,0.364,0.048,0.0300143439049047
"Erich3",2.02139095304508e-06,0.735549959412355,0.455,0.079,0.0329426083617757
"Vwa3a",2.28110101565791e-06,0.759985948290475,0.545,0.113,0.0371751032521769
"Fam216b",2.36368144104065e-06,1.58736643513723,0.727,0.229,0.0385209164446395
"Cmbl",2.63424167159094e-06,0.62082425299918,0.545,0.11,0.0429302365219175
"1700001C02Rik",2.71973064246481e-06,0.737346964055182,0.455,0.084,0.044323450280249
"AC151602.1",3.17635017776469e-06,0.546695302295632,0.364,0.053,0.0517649788470311
"Catip",3.30385605688146e-06,1.0388343341359,0.545,0.125,0.0538429421589972
"Mks1",3.36050763972261e-06,0.511163487943819,0.636,0.14,0.0547661930045594
"Spef1",3.39343043926541e-06,0.870614982201689,0.818,0.249,0.0553027358687085
"Ncs1",3.45201826038813e-06,0.513107234024545,0.455,0.078,0.0562575415895454
"Sco2",3.45823458973358e-06,1.48684651226299,0.727,0.273,0.0563588491088882
"Fhad1",3.50051660890076e-06,1.09498776766638,0.545,0.133,0.0570479191752556
"Cfap69",3.53308194778798e-06,0.988258935012933,0.818,0.258,0.0575786365031006
"Cldn3",3.62893214986187e-06,1.42629461106975,1,0.748,0.059140707246299
"Asb14",3.64132195715965e-06,0.63039370510043,0.364,0.055,0.0593426239358308
"Lrrc43",3.64934357446968e-06,1.14965655896897,0.636,0.188,0.0594733522331324
"Cfap52",3.69165417248023e-06,0.749586019099217,0.545,0.121,0.0601628880489102
"Timp2",3.77534125472979e-06,-1.42152059481746,0.727,0.973,0.0615267364283313
"Cfap299",4.02191942522465e-06,0.819004840113794,0.545,0.118,0.0655452208728861
