"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Csk",0.000439219609606749,-0.263528816732512,0.466,0.627,1
"Cd19",0.000451161496224643,-0.378165057713077,0.214,0.366,1
"Myof",0.000458810929941245,-0.252334533203448,0.489,0.648,1
"Cd52",0.000461697281967465,-0.363473948430354,0.992,0.987,1
"Plac8",0.000481110560295277,-0.256200611005822,0.916,0.954,1
"Ctsb",0.000487965542177971,-0.267359532517457,0.992,0.994,1
"Cfb",0.000512153525126617,-0.300063290081433,0.817,0.856,1
"Il1rn",0.000565169388412906,-0.521689882939331,0.656,0.747,1
"Iigp1",0.000610207385963241,-0.252801784696022,0.389,0.568,1
"Por",0.000711029391946466,0.278073236514427,0.786,0.724,1
"Tnxb",0.000725021766245958,0.263587023651,0.298,0.187,1
"Ccdc88b",0.000739232104660598,-0.260063794196805,0.435,0.584,1
"Cnp",0.00081124073169627,-0.286477100132213,0.481,0.653,1
"Des",0.000931631294078737,0.408057802054093,0.504,0.421,1
"Fuca2",0.00110090631958471,-0.253553612486252,0.725,0.829,1
"Thbd",0.00112449970489766,0.337434112727734,0.527,0.433,1
"Tgfbi",0.00127568207049277,-0.25035374040362,0.458,0.613,1
"Ccn2",0.00136917070324366,0.262830280495683,0.611,0.503,1
"Yif1b",0.00142762314934983,0.253088855913824,0.641,0.578,1
"Ccr6",0.00145529123635064,-0.340031840444046,0.221,0.353,1
"Ptprc",0.00158190029655744,-0.250511114532248,0.985,0.992,1
"Ctsh",0.00167963741377288,-0.25591200755509,0.84,0.889,1
"Clec14a",0.00175882333965738,0.26165007225344,0.603,0.503,1
"Cdc42bpg",0.00177796064298832,0.261102923940523,0.695,0.629,1
"Basp1",0.00189295110374105,-0.273608956517287,0.885,0.876,1
"Sftpd",0.00191733291732159,-0.27196954246842,1,0.961,1
"Scarf2",0.0024692974502327,0.252620248937917,0.687,0.645,1
"Ctsl",0.00258539858980831,-0.272621874341167,0.969,0.965,1
"Mxra7",0.00287285706332237,0.265359869843329,0.573,0.497,1
"Slc2a1",0.00305185261227808,-0.255770636571839,0.427,0.548,1
"Gm19935",0.00355036259778042,0.277853502040153,0.374,0.267,1
