"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd83",1.46686450728243e-50,1.00340425099067,0.906,0.48,2.07473315910026e-46
"Krt7",1.63573501036036e-50,-1.07605169588599,0.724,0.981,2.31358359865369e-46
"Mgp",3.38513885194645e-50,-0.907798302579338,0.927,0.999,4.78794039219306e-46
"Sept1",5.71563392404728e-50,0.887020121059724,0.896,0.405,8.08419262217247e-46
"Pakap.1",5.9127020255959e-50,-1.3029233793065,0.646,0.932,8.36292574500285e-46
"Prkcb",5.99789267982557e-50,0.565763821023967,0.547,0.129,8.48341940634528e-46
"Il16",8.07454916072048e-50,0.68872673182258,0.714,0.231,1.1420642332923e-45
"Ptms",1.83692110144992e-49,-0.625454711531278,1,1,2.59814120589077e-45
"Emp2",4.30166023734454e-48,-1.03788535183228,0.568,0.931,6.08426823970012e-44
"Ralgps2",1.28326611032533e-47,0.634449440097809,0.609,0.175,1.81505158644415e-43
"Shisa5",2.09804025765363e-47,0.722042946361313,1,0.994,2.96746814042529e-43
"Cryab",2.82313226347891e-47,-1.08233579487799,0.542,0.917,3.99303827346456e-43
"Snn",4.48651584800478e-47,1.05071962641179,0.88,0.469,6.34572801541796e-43
"Mef2c",4.85296878379037e-47,0.772548312514395,0.766,0.304,6.8640390477931e-43
"Col4a2",6.66893710464576e-47,-0.971329022674759,0.703,0.962,9.43254464081096e-43
"Slc28a2",2.84147838818496e-46,0.508113151082182,0.464,0.099,4.01898703224881e-42
"Sash3",5.8690626007964e-46,0.899767111927574,0.833,0.401,8.30120214256643e-42
"Lpxn",7.6122315806386e-46,0.694720557438436,0.734,0.262,1.07667403476552e-41
"Haao",1.25141435276991e-45,0.46325413607619,0.453,0.093,1.77000046055776e-41
"Eef1b2",6.99518141826518e-45,0.815872222321159,0.974,0.828,9.89398459799426e-41
"Tnfrsf13b",1.87598389591879e-44,0.427529769137631,0.365,0.061,2.65339162238754e-40
"Fmo2",1.10153288642724e-43,-1.3963578732805,0.349,0.789,1.55800811456269e-39
"Bcam",1.3147059410818e-43,-0.975598789819017,0.49,0.893,1.8595200830661e-39
"Il21r",1.38075863195229e-43,0.909447876224189,0.885,0.484,1.95294500903333e-39
"Acer2",3.70351984500623e-43,-1.21336298678863,0.505,0.878,5.23825846877681e-39
"Dok3",1.55938250068937e-42,0.618729776123894,0.599,0.18,2.20559060897504e-38
"Chil1",1.77403529684217e-42,-0.953085357445942,0.891,0.998,2.50919552385357e-38
"Il4i1",2.42918954968354e-42,0.758009226247279,0.786,0.334,3.4358456990724e-38
"F2r",3.64127644977816e-42,-0.944549832015716,0.562,0.926,5.15022141056623e-38
"Egfl7",3.9724672745002e-42,-1.18061042076165,0.464,0.855,5.61865771305309e-38
"Plcg2",7.83107807662794e-42,0.790119532614311,0.833,0.39,1.10762768315826e-37
"Sapcd1",7.85144870833736e-42,0.612743809935975,0.578,0.169,1.11050890530724e-37
"Grk6",7.98927937131523e-42,0.838606702487171,0.896,0.497,1.13000367427883e-37
"Trim7",8.80538800278401e-42,0.406154378322859,0.38,0.071,1.24543407911377e-37
